Quarter Ending,Department,UnitNo,Vendor Number,Vendor,City,State,DeptID Description,DeptID,Amount,Account,AcctNo,Fund Description,Fund
09/30/2009,Agency of Transportation,08100,0000005196,A L ST Onge Contractor Inc,,VT,Program Development,8100001100,252456.33,Prop-Bldg&Lsehold Infra Improv,522800,TR Infrastructure Bond Fund,20191
09/30/2009,Buildings & Gen Serv-Prop,01160,0000001464,A L Tyler & Sons Inc,,VT,BGS-Springfield Corr Facility,1160550513,105.69,Heating & Ventilation,520211,Facilities Operations Fund,58800
09/30/2009,Agency of Transportation,08100,0000001464,A L Tyler & Sons Inc,,VT,Transportation Buildings,8100000700,371.40,Electricity,521100,Transp Fund - Nondedicated,20105
06/30/2017,Environmental Conservation,06140,0000270421,BGS Catamount Health Assessment,Montpelier,VT,Geology Division,6140020506,158.77,Catamount Health Assessment,505700,Inter-Unit Transfers Fund,21500
09/30/2009,Banking Ins Sec Hlth Care Adm,02210,0000010580,A M Best Company Inc,,PA,Ins. Rate/Form Filings,2210014000,5870.00,Books&Periodicals-Library/Educ,521500,Insurance Regulatory & Suprv,21075
09/30/2009,Agency of Transportation,08100,0000006460,A Nadeau & Co Inc,,VT,Maintenance,8100002000,406.24,Road Supplies and Materials,521600,Transp Fund - Nondedicated,20105
09/30/2009,Buildings & Gen Serv-Prop,01160,0000014250,A R Sandri Inc,,MA,BGS-Springfld-St Office Bldg,1160550510,7312.18,Heating Oil #2 - Uncut,521220,Facilities Operations Fund,58800
09/30/2009,Public Safety,02140,0000014250,A R Sandri Inc,,MA,DPS-AD-SS-Fleet Services,2140011210,12606.02,Gasoline,520110,General Fund,10000
09/30/2009,Corrections,03480,0000014250,A R Sandri Inc,,MA,Southeast State,3480004280,15858.20,Heating Oil #2 - B10%,521223,General Fund,10000
06/30/2017,Military,02150,0000317189,Workplace Safety Solutions Inc,Williston,VT,Army - 100%,2150030000,1000.00,Contr&3rd Pty-Educ & Training,507350,Federal Revenue Fund,22005
06/30/2017,Labor,04100,0000360679,"Anderson,Debra M.",St George,VT,WIA Disbursements,4100510160,133.70,Contr&3rd Pty-Participant,507575,Federal Revenue Fund,22005
09/30/2009,Environmental Conservation,06140,0000272024,A R Sandri Inc & DB Environmental,,MA,Petroleum Clean-up Fund,6140030400,5021.00,Environmental Site Work,519150,Petroleum Cleanup Fund,21255
09/30/2009,Environmental Conservation,06140,0000185088,A R Sandri Inc & KAS Inc,,MA,Petroleum Clean-up Fund,6140030400,1435.35,Environmental Site Work,519150,Petroleum Cleanup Fund,21255
06/30/2017,Children and Families,03440,0000294583,"Killington Pico Ski Resort Partners, LLC",Killington,VT,DCFS - Child Development,3440030000,1730.84,Child Care Subsidy Protect SVC,603510,Federal Revenue Fund,22005
09/30/2009,Information & Innovation,01105,0000009354,A T & T,,NJ,DII Enterprise Computing,1105500200,159.00,Data Circuits,516610,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000009356,A T & T,,NJ,CIT-Telecom-Demand,1105509100,2102.69,Cost of Telephone Service,525230,Information Technology,58100
09/30/2009,Judiciary,02120,0000009356,A T & T,,AZ,Windham Superior Court,2120211300,485.01,Telecom-Long Distance Service,516655,General Fund,10000
09/30/2009,Judiciary,02120,0000009356,A T & T,,AZ,Windsor Superior Court,2120211400,193.38,Telecom-Long Distance Service,516655,General Fund,10000
09/30/2009,State's Attorneys and Sheriffs,02130,0000009356,A T & T,,AZ,Essex - State's Attorneys,2130100020,169.86,Telecom-Telephone Service,516652,General Fund,10000
09/30/2009,State's Attorneys and Sheriffs,02130,0000009356,A T & T,,AZ,Bennington - Sheriffs,2130200005,111.31,Telecom-Telephone Service,516652,General Fund,10000
09/30/2009,State's Attorneys and Sheriffs,02130,0000009356,A T & T,,AZ,Orange - Sheriffs,2130200040,1696.18,Telecom-Telephone Service,516652,General Fund,10000
09/30/2009,Public Safety,02140,0000009356,A T & T,,AZ,PS-FS-Hazmat Response Team,2140044000,25.00,Communications,516600,Haz Chem & Subst Emerg Resp,21125
09/30/2009,Public Safety,02140,0000009356,A T & T,,IL,PS-FS-Hazmat Response Team,2140044000,75.00,Communications,516600,Haz Chem & Subst Emerg Resp,21125
09/30/2009,Public Safety,02140,0000009356,A T & T,,IL,DPS-RERP-Administration,2140081000,1.00,Communications,516600,Radiological Emerg Response,21025
06/30/2017,Buildings & Gen Serv-Prop,01160,0000045300,Buildings & General Svcs-Purchasing Card,Montpelier,VT,BGS-Mont-6 Baldwin Street,1160550004,3.99,Building Maintenance Supplies,520200,Facilities Operations Fund,58800
09/30/2009,VT Department of Labor,04100,0000009356,A T & T,,AZ,SESA Disbursements,4100510000,2051.40,Telecom-Telephone Service,516652,Federal Revenue Fund,22005
09/30/2009,Fish & Wildlife,06120,0000009356,A T & T,,AZ,Hatcheries - Salisbury,6120040500,78.86,Telecom-Telephone Service,516652,F&W Fund - Nondedicated,20305
06/30/2017,Children and Families,03440,0000358094,Beth's Stepping Stones Day School LLC,Berlin,VT,DCFS - Child Development,3440030000,435.67,Child Care Subsidy Protect SVC,603510,Federal Revenue Fund,22005
09/30/2009,"Forest, Parks & Recreation",06130,0000009356,A T & T,,IL,Parks,6130030000,28.54,Telecom-Telephone Service,516652,State Forest Parks Fund,21270
09/30/2009,Environmental Conservation,06140,0000009356,A T & T,,IL,Enforcement Div - Waterbury,6140020406,65.13,Telecom-Telephone Service,516652,Environmental Permit Fund,21295
09/30/2009,Agency of Transportation,08100,0000009356,A T & T,,AZ,Maintenance,8100002000,10.15,Telecom-Telephone Service,516652,Transp Fund - Nondedicated,20105
09/30/2009,Commerce & Community Dev Admin,07100,0000009352,A T & T Media Services,,CT,Marketing Program,7100000015,1062.50,Advertising - TV,516811,Inter-Unit Transfers Fund,21500
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII Commissioner,1105500050,146.04,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII-Telecommunications,1105500100,41.76,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII Enterprise Computing,1105500200,191.30,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII-Server & Application Group,1105500320,804.48,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII-Customer Support,1105500400,162.25,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,Network Engineering,1105501000,22.65,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,CIT-Customer Support-Demand,1105509400,25.20,Telecom-Mobile Wireless Data,516623,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII-Telecommunications,1105500100,96.31,Hardware-Pers Mobile Devices,522258,Information Technology,58100
09/30/2009,Information & Innovation,01105,0000283499,A T & T Mobility,,IL,DII Enterprise Computing,1105500200,94.92,Hardware-Pers Mobile Devices,522258,Information Technology,58100
